"id";"created_at";"updated_at";"row_version";"date_time";"resolution";"temperature";"source";"estimated";"location__id"
1953577;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 13:00:00+00";"PT60M";14,61;"D";TRUE;1
1953578;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 14:00:00+00";"PT60M";14,13;"D";TRUE;1
1953579;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 15:00:00+00";"PT60M";13,22;"D";TRUE;1
1953580;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 16:00:00+00";"PT60M";12,65;"D";TRUE;1
1953581;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 17:00:00+00";"PT60M";11,97;"D";TRUE;1
1953582;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 18:00:00+00";"PT60M";11,39;"D";TRUE;1
1953583;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 19:00:00+00";"PT60M";10,98;"D";TRUE;1
1953584;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 20:00:00+00";"PT60M";10,57;"D";TRUE;1
1953585;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 21:00:00+00";"PT60M";10,2;"D";TRUE;1
1953586;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 22:00:00+00";"PT60M";9,9;"D";TRUE;1
1953587;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-29 23:00:00+00";"PT60M";9,52;"D";TRUE;1
1953588;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 00:00:00+00";"PT60M";9,11;"D";TRUE;1
1953589;"2020-10-23 04:00:08.432202+00";"2020-10-23 04:00:08.432202+00";1;"2020-10-30 01:00:00+00";"PT60M";8,61;"D";TRUE;1
